	Income	Response	Kids	Expenses	TotalAcceptedCmp	NumTotalPurchases	Age	Days_Customer	Related	Single	Unrelated	Post-Graduate	Under-Graduate
0	58138.0	1	0	1617	1	25	65	3668	0.0	1.0	0.0	1.0	0.0
1	46344.0	0	2	27	0	6	68	2822	0.0	1.0	0.0	1.0	0.0
2	71613.0	0	0	776	0	21	57	3169	1.0	0.0	0.0	1.0	0.0
3	26646.0	0	1	53	0	8	38	2762	1.0	0.0	0.0	1.0	0.0
4	58293.0	0	1	422	0	19	41	3018	1.0	0.0	0.0	1.0	0.0
5	62513.0	0	1	716	0	22	55	3150	1.0	0.0	0.0	1.0	0.0
6	55635.0	0	1	590	0	21	51	3450	0.0	1.0	0.0	1.0	0.0
7	33454.0	0	1	169	0	10	37	3185	1.0	0.0	0.0	1.0	0.0
8	30351.0	1	1	46	1	6	48	3245	1.0	0.0	0.0	1.0	0.0
9	5648.0	0	2	49	1	2	72	2965	1.0	0.0	0.0	1.0	0.0
10	52247.25135379061	0	1	19	0	4	39	3083	1.0	0.0	0.0	1.0	0.0
11	7500.0	0	0	61	0	6	46	3450	1.0	0.0	0.0	0.0	1.0
12	63033.0	0	0	1102	0	16	63	3083	0.0	1.0	0.0	1.0	0.0
13	59354.0	0	2	310	0	15	70	3083	0.0	1.0	0.0	1.0	0.0
14	17323.0	0	0	46	0	5	35	3484	1.0	0.0	0.0	1.0	0.0
15	82800.0	1	0	1315	3	26	76	3439	0.0	1.0	0.0	1.0	0.0
16	41850.0	0	2	96	0	9	42	3409	1.0	0.0	0.0	1.0	0.0
17	37760.0	0	0	317	0	13	76	3524	1.0	0.0	0.0	1.0	0.0
18	76995.0	0	1	1782	1	26	73	3315	1.0	0.0	0.0	1.0	0.0
19	33812.0	0	1	133	0	8	37	3697	0.0	1.0	0.0	1.0	0.0
20	37040.0	0	0	316	0	12	40	3547	1.0	0.0	0.0	1.0	0.0
21	2447.0	0	1	1730	0	43	43	3250	1.0	0.0	0.0	1.0	0.0
